,Descargá este archivo para editar haciendo click en Archivo/Descargar/Descargar como Excel,Lista de Precios,,,,Coef.costo,"0,63000",,Bonficacion General,"30,00 %"
,,,,,,Aumento,,,Descuento de Caja,"10,00 %"
,,Cotizador General,,,,Margen,,,IVA,
,,,,,,Coef./vta,"1,00000",,Descuento Extra,
,,1 de abril de 2026,,,,COTIZADOR,,,Total,"0,00"
Cód.,Rubro,Detalle Patron,Detalle Artículo,Precio,,Dto Extra,Costo,Venta,Cant.,SubTotal
98801,A01 AWADUCT SIST,ACOPLE,TERRA H-HC 110(118.118),"3107,88",,,"1957,96","1.957,96",,"0,00"
98802,A01 AWADUCT SIST,ACOPLE,TERRA H-HC 160(177.177),"7456,31",,,"4697,48","4.697,48",,"0,00"
98803,A01 AWADUCT SIST,ACOPLE,TERRA H-HC 200(218.218),"12213,35",,,"7694,41","7.694,41",,"0,00"
98810,A01 AWADUCT SIST,ACOPLE,TERRA HC 100X100,"2650,45",,,"1669,78","1.669,78",,"0,00"
98811,A01 AWADUCT SIST,ACOPLE,TERRA TRANS.HC-H110(118.110),"3193,46",,,"2011,88","2.011,88",,"0,00"
98812,A01 AWADUCT SIST,ACOPLE,TERRA TRANS.HC-H160(177.160),"7545,41",,,"4753,61","4.753,61",,"0,00"
98819,A01 AWADUCT SIST,ACOPLE,TERRA MACHO (H)100X100,"1683,31",,,"1060,49","1.060,49",,"0,00"
98820,A01 AWADUCT SIST,ACOPLE,TERRA M-H 110(218.218),"8914,11",,,"5615,89","5.615,89",,"0,00"
98821,A01 AWADUCT SIST,ACOPLE,TERRA TRANS.H-M 110(118.110),"2062,18",,,"1299,17","1.299,17",,"0,00"
98822,A01 AWADUCT SIST,ACOPLE,TERRA TRANS.H-M 160(177.160),"5542,76",,,"3491,94","3.491,94",,"0,00"
98911,A01 AWADUCT SIST,ACOPLE,TERRA CLAK H.(HC) 110(118x110),"6306,85",,,"3973,32","3.973,32",,"0,00"
98912,A01 AWADUCT SIST,ACOPLE,TERRA CLAK H.(HC) 160(177x160),"11917,14",,,"7507,80","7.507,80",,"0,00"
98921,A01 AWADUCT SIST,ACOPLE,TERRA CLAK M-(H) 110(118x110),"5067,22",,,"3192,35","3.192,35",,"0,00"
98922,A01 AWADUCT SIST,ACOPLE,TERRA CLAK M-(H) 160(177x160),"9654,23",,,"6082,16","6.082,16",,"0,00"
92070,A01 AWADUCT SIST,ADAPTADOR AWAD.,EXCEN.P/INODORO 110 AWA,"7017,44",,,"4420,99","4.420,99",,"0,00"
92071,A01 AWADUCT SIST,ADAPTADOR AWAD.,EXC.INOD.105 ACANALADO AWA,"7308,17",,,"4604,15","4.604,15",,"0,00"
92072,A01 AWADUCT SIST,ADAPTADOR AWAD.,VAL.INODORO AWADUCT M 38.40,"613,54",,,"386,53","386,53",,"0,00"
92250,A01 AWADUCT SIST,ADAPTADOR AWAD.,CONCEN. P/ INODORO 110 MACHO,"6796,03",,,"4281,50","4.281,50",,"0,00"
92251,A01 AWADUCT SIST,ADAPTADOR AWAD.,CONCENTRICO 105 ACANALADO,"7017,44",,,"4420,99","4.420,99",,"0,00"
92253,A01 AWADUCT SIST,ADAPTADOR AWAD.,CONCENTRICO A CODO P/INODORO,"7459,6",,,"4699,55","4.699,55",,"0,00"
92268,A01 AWADUCT SIST,ADAPTADOR AWAD.,DESC.AIRE ACOND.32HX3/4 ROSCA,"544,97",,,"343,33","343,33",,"0,00"
92269,A01 AWADUCT SIST,ADAPTADOR AWAD.,"DESC.AIRE.ACOND.32H X 1"" ROSCA","544,97",,,"343,33","343,33",,"0,00"
92270,A01 AWADUCT SIST,ADAPTADOR AWAD.,SUPER EXCENT.AWAD.110 M,"7017,44",,,"4420,99","4.420,99",,"0,00"
92271,A01 AWADUCT SIST,ADAPTADOR AWAD.,SUPER EXCEN.AWAD 105 ACANAL,"7267,95",,,"4578,81","4.578,81",,"0,00"
92280,A01 AWADUCT SIST,ADAPTADOR AWAD.,SUPER EXC.P/INOD.C/GOLLETE 110,"7595,54",,,"4785,19","4.785,19",,"0,00"
92283,A01 AWADUCT SIST,ADAPTADOR AWAD.,DESC.AIRE.ACOND. 32Mx3/4 / 1/2,"544,97",,,"343,33","343,33",,"0,00"
92285,A01 AWADUCT SIST,ADAPTADOR AWAD.,DESC.AIRE ACOND.40X3/4 AWA,"456,27",,,"287,45","287,45",,"0,00"
92286,A01 AWADUCT SIST,ADAPTADOR AWAD.,DESC.AIRE.ACOND. 40X1 AWA,"550,55",,,"346,85","346,85",,"0,00"
92287,A01 AWADUCT SIST,ADAPTADOR AWAD.,DESCARGA  40x3/4 FUSION,"456,27",,,"287,45","287,45",,"0,00"
92289,A01 AWADUCT SIST,ADAPTADOR AWAD.,PILETA DESC.AIRE AC.32Hx3/4ROS,"544,97",,,"343,33","343,33",,"0,00"
93055,A01 AWADUCT SIST,ADAPTADOR AWAD.,PILETA H.F. 110,"489,59",,,"308,44","308,44",,"0,00"
94036,A01 AWADUCT SIST,ADAPTADOR AWAD.,AWADUCT P/INODORO 110,"4893,26",,,"3082,75","3.082,75",,"0,00"
94137,A01 AWADUCT SIST,BARRERA ANTIPLAGAS,AWADUCT,"884,39",,,"557,17","557,17",,"0,00"
92039,A01 AWADUCT SIST,BOCA ACCESO,COCINA LOSA AWADUCT 40x110,"8336,11",,,"5251,75","5.251,75",,"0,00"
92052,A01 AWADUCT SIST,BOCA ACCESO,COCINA AWADUCT 63.50**,"6997,14",,,"4408,20","4.408,20",,"0,00"
92059,A01 AWADUCT SIST,BOCA ACCESO,COCINA LOSA AWADUCT 50x110,"8746,59",,,"5510,35","5.510,35",,"0,00"
