,Descargá este archivo para editar haciendo click en Archivo/Descargar/Descargar como Excel,Lista de Precios,,,,Coef.costo,"0,63000",,Bonficacion General,"30,00 %"
,,,,,,Aumento,,,Descuento de Caja,"10,00 %"
,,Cotizador General,,,,Margen,,,IVA,
,,,,,,Coef./vta,"1,00000",,Descuento Extra,
,,1 de abril de 2026,,,,COTIZADOR,,,Total,"0,00"
Cód.,Rubro,Detalle Patron,Detalle Artículo,Precio,,Dto Extra,Costo,Venta,Cant.,SubTotal
405170,B06 PLUVIALES,MODULO DESAGUE LINEAL,70CM PVC GRIS,"33986,37",,,"21411,41","21.411,41",,"0,00"
405190,B06 PLUVIALES,MODULO DESAGUE LINEAL,90CM PVC GRIS,"39029,45",,,"24588,55","24.588,55",,"0,00"
400025,B06 PLUVIALES,PERFIL BORDE,P/ REJILLA TIGRE,"12922,53",,,"8141,19","8.141,19",,"0,00"
401130,B06 PLUVIALES,REJILLA,130MM 0.5 TN BLANCA TIGRE,"15050,85",,,"9482,04","9.482,04",,"0,00"
401200,B06 PLUVIALES,REJILLA,PISO BLANCA 200MM 0.5 TN TIGRE,"2819,88",,,"1776,52","1.776,52",,"0,00"
403050,B06 PLUVIALES,REJILLA,LINEAL 50CM REJILLA BLANCA NL,"15344,84",,,"9667,25","9.667,25",,"0,00"
403070,B06 PLUVIALES,REJILLA,LINEAL 70CM REJILLA BLANCA NL,"18818,88",,,"11855,89","11.855,89",,"0,00"
403090,B06 PLUVIALES,REJILLA,LINEAL 90CM REJILLA BLANCA NL,"32389,52",,,"20405,40","20.405,40",,"0,00"
403130,B06 PLUVIALES,REJILLA,130MM 0.5 TN GRIS TIGRE,"15050,85",,,"9482,04","9.482,04",,"0,00"
403200,B06 PLUVIALES,REJILLA,PISO GRIS 200MM 0.5 TN TIGRE,"2819,88",,,"1776,52","1.776,52",,"0,00"
403350,B06 PLUVIALES,REJILLA,LINEAL 50CM REJILLA CROMADA NL,"24866,54",,,"15665,92","15.665,92",,"0,00"
403370,B06 PLUVIALES,REJILLA,LINEAL 70CM REJILLA CROMADA NL,"43424,79",,,"27357,62","27.357,62",,"0,00"
403390,B06 PLUVIALES,REJILLA,LINEAL 90CM REJILLA CROMADA NL,"48715,41",,,"30690,71","30.690,71",,"0,00"
403650,B06 PLUVIALES,REJILLA,LINEAL 50CM REJILLA AC.INOX NL,"37374,35",,,"23545,84","23.545,84",,"0,00"
403670,B06 PLUVIALES,REJILLA,LINEAL 70CM REJILLA AC.INOX NL,"47412,46",,,"29869,85","29.869,85",,"0,00"
403690,B06 PLUVIALES,REJILLA,LINEAL 90CM REJILLA AC.INOX NL,"56026,1",,,"35296,44","35.296,44",,"0,00"
407130,B06 PLUVIALES,REJILLA,CANALETA GALV. 500X100X25,"23664,11",,,"14908,39","14.908,39",,"0,00"
407200,B06 PLUVIALES,REJILLA,CANALETA GALV. 500X200X25,"5525,04",,,"3480,78","3.480,78",,"0,00"
408130,B06 PLUVIALES,REJILLA,130MM 8 TN BLANCA TIGRE,"3939,57",,,"2481,93","2.481,93",,"0,00"
408200,B06 PLUVIALES,REJILLA,200 MM 5 TN TIGRE GRIS,"1702,83",,,"1072,78","1.072,78",,"0,00"
409130,B06 PLUVIALES,REJILLA,130MM 8 TN ARENA TIGRE,"2501,94",,,"1576,22","1.576,22",,"0,00"
409200,B06 PLUVIALES,REJILLA,200MM 3 TN TIGRE GRIS,"5003,52",,,"3152,22","3.152,22",,"0,00"
410130,B06 PLUVIALES,REJILLA,130MM 8TN GRIS TIGRE,"3939,57",,,"2481,93","2.481,93",,"0,00"
411130,B06 PLUVIALES,REJILLA,130MM 12 TN GRIS TIGRE,"6201,55",,,"3906,98","3.906,98",,"0,00"
401335,B06 PLUVIALES,REJILLA DESAGUE LINEAL,35CM PE BLANCO,"5920,37",,,"3729,83","3.729,83",,"0,00"
401345,B06 PLUVIALES,REJILLA DESAGUE LINEAL,45CM PE BLANCO,"6138,98",,,"3867,56","3.867,56",,"0,00"
401350,B06 PLUVIALES,REJILLA DESAGUE LINEAL,50CM PE BLANCO,"10086,65",,,"6354,59","6.354,59",,"0,00"
407350,B06 PLUVIALES,REJILLA DESAGUE LINEAL,50CM ACERO INOX.,"73234,94",,,"46138,01","46.138,01",,"0,00"
407370,B06 PLUVIALES,REJILLA DESAGUE LINEAL,70CM ACERO INOX.,"85645,05",,,"53956,38","53.956,38",,"0,00"
407390,B06 PLUVIALES,REJILLA DESAGUE LINEAL,90CM ACERO INOX.,"100686,33",,,"63432,39","63.432,39",,"0,00"
8211,B06 PLUVIALES,SELLO,"GOMA CANALETA TIGRE 125MM.6,7","331,36",,,"208,76","208,76",,"0,00"
9109,B06 PLUVIALES,SELLO,GOMA CAN.TIGRE-STYLE,"1190,25",,,"749,86","749,86",,"0,00"
8218,B06 PLUVIALES,SOPORTE,PVC CANALETA TIGRE 125 MM,"1934,12",,,"1218,50","1.218,50",,"0,00"
8219,B06 PLUVIALES,SOPORTE,P/CAN.TIGRE ZINCADO 285.112,"9391,18",,,"5916,44","5.916,44",,"0,00"
8222,B06 PLUVIALES,SOPORTE,P/CAN.TIGRE ZINCADO CURVO,"9942,45",,,"6263,74","6.263,74",,"0,00"
9108,B06 PLUVIALES,SOPORTE,METAL CAN.TIGRE-STYLE 132x89,"10474,09",,,"6598,68","6.598,68",,"0,00"
9113,B06 PLUVIALES,SOPORTE,PVC CAN.TIGRE-STYLE,"1824,67",,,"1149,54","1.149,54",,"0,00"
8204,B06 PLUVIALES,TAPA CANALETA,TIGRE DERECHA D.125MM,"2162,38",,,"1362,30","1.362,30",,"0,00"
8205,B06 PLUVIALES,TAPA CANALETA,TIGRE IZQUIERDA D.125,"2230,1",,,"1404,96","1.404,96",,"0,00"
404130,B06 PLUVIALES,TAPA CIEGA,BLANCA 130 MM 0.5 TN,"1039,23",,,"654,71","654,71",,"0,00"
404200,B06 PLUVIALES,TAPA CIEGA,BLANCA 200MM 7 TN,"568,25",,,"358,00","358,00",,"0,00"
405130,B06 PLUVIALES,TAPA CIEGA,ARENA 130MM 0.5 TN,"1039,23",,,"654,71","654,71",,"0,00"
405200,B06 PLUVIALES,TAPA CIEGA,ARENA 200MM 7TN,"568,25",,,"358,00","358,00",,"0,00"
406130,B06 PLUVIALES,TAPA CIEGA,GRIS 130MM 0.5 TN,"1039,23",,,"654,71","654,71",,"0,00"
406200,B06 PLUVIALES,TAPA CIEGA,GRIS 200MM 7 TN,"2877,01",,,"1812,52","1.812,52",,"0,00"
414130,B06 PLUVIALES,TAPA CIEGA,130MM C/ ENT. 40MM BAJO CAUDAL,"2443,13",,,"1539,17","1.539,17",,"0,00"
420130,B06 PLUVIALES,TAPA CIEGA,130MM C/ SAL.110MM ALTO CAUDAL,"416,46",,,"262,37","262,37",,"0,00"
420200,B06 PLUVIALES,TAPA CIEGA,200MM C/SAL 110 ALTO CAUDAL,"575,79",,,"362,75","362,75",,"0,00"
9104,B06 PLUVIALES,TAPA DERECHA,CAN.TIGRE-STYLE,"4054,62",,,"2554,41","2.554,41",,"0,00"
9105,B06 PLUVIALES,TAPA IZQUIERDA,CAN.TIGRE-STYLE,"4054,62",,,"2554,41","2.554,41",,"0,00"
424130,B06 PLUVIALES,TE PISO,130 MM ALTO CAUDAL,"1065,35",,,"671,17","671,17",,"0,00"
424200,B06 PLUVIALES,TE PISO,NORMAL 200MM ALTO CAUDAL,"361,72",,,"227,88","227,88",,"0,00"
8227,B06 PLUVIALES,TRAMPA PARA HOJAS,P/CANALETA,"2500,33",,,"1575,21","1.575,21",,"0,00"
1967,B06 PLUVIALES,TUBO DE BAJADA,CAN.TIGRE 3M DIAM.88 MM,"37504,48",,,"23627,82","23.627,82",,"0,00"
9102,B06 PLUVIALES,TUBO DE BAJADA,3 MTS.TIGRE-STYLE,"40679,87",,,"25628,32","25.628,32",,"0,00"
8206,B06 PLUVIALES,UNION CANALETA,BCA.TIGRE 125 MM,"5068,2",,,"3192,97","3.192,97",,"0,00"
9106,B06 PLUVIALES,UNION CANALETA,TIGRE-STYLE,"6757,56",,,"4257,26","4.257,26",,"0,00"
421130,B06 PLUVIALES,UNION CANALETA TIGRE,130MM ALTO CAUDAL,"161,46",,,"101,72","101,72",,"0,00"
421200,B06 PLUVIALES,UNION CANALETA TIGRE,200MM ALTO CAUDAL,"348,01",,,"219,25","219,25",,"0,00"
3904,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,PVC PARA TUBO DE 25MM,"738,86",,,"465,48","465,48",,"0,00"
3905,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,PVC PARA TUBO DE 20MM,"620,65",,,"391,01","391,01",,"0,00"
3928,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,DERIV. 63.1/2,"556,15",,,"350,37","350,37",,"0,00"
3929,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,DERIV. 63.3/4,"556,15",,,"350,37","350,37",,"0,00"
3930,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,DERIV. 63.  1,"556,15",,,"350,37","350,37",,"0,00"
3951,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,DERIV. 40.1/2,"1816,62",,,"1144,47","1.144,47",,"0,00"
3952,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,C/TRABAS  40.3/4,"4349,98",,,"2740,49","2.740,49",,"0,00"
3955,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,C/TRABAS  50.3/4,"4857,96",,,"3060,51","3.060,51",,"0,00"
3957,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,DERIV. 63.1/2C/TORNILLO,"1262,38",,,"795,30","795,30",,"0,00"
3958,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,C/TRABAS  63.3/4,6585,,,"4148,55","4.148,55",,"0,00"
3961,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,C/TRABAS  75.3/4,6585,,,"4148,55","4.148,55",,"0,00"
3962,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,DERIV. 75. 1/2,"1947,01",,,"1226,62","1.226,62",,"0,00"
3964,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,C/TRABAS  90.3/4,11720,,,"7383,60","7.383,60",,"0,00"
3966,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,DERIV.110.1/2,"556,15",,,"350,37","350,37",,"0,00"
3967,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,C/TRABAS 110.3/4,"9217,13",,,"5806,79","5.806,79",,"0,00"
3978,B07 CONDUC AGUA POTABLE PVC,ABRAZADERA,C/TRABAS  32.3/4,"4479,27",,,"2821,94","2.821,94",,"0,00"
4009,B07 CONDUC AGUA POTABLE PVC,ACCESORIOS CLASE 6 KALIPLAST,CODO HID.90º 40 MM,"985,22",,,"620,69","620,69",,"0,00"
4010,B07 CONDUC AGUA POTABLE PVC,ACCESORIOS CLASE 6 KALIPLAST,CODO HID.90º 50 MM,"1642,44",,,"1034,74","1.034,74",,"0,00"
4039,B07 CONDUC AGUA POTABLE PVC,ACCESORIOS CLASE 6 KALIPLAST,TE HID. 40 H-H,"1494,66",,,"941,64","941,64",,"0,00"
4049,B07 CONDUC AGUA POTABLE PVC,ACCESORIOS CLASE 6 KALIPLAST,CUPLA HID. 40 H-H,"779,12",,,"490,85","490,85",,"0,00"
4050,B07 CONDUC AGUA POTABLE PVC,ACCESORIOS CLASE 6 KALIPLAST,CUPLA HID. 50 H-H,"976,66",,,"615,30","615,30",,"0,00"
3784,B07 CONDUC AGUA POTABLE PVC,BRIDA CAMPANA,160 C/ARO DE GOMA,"400,23",,,"252,14","252,14",,"0,00"
3785,B07 CONDUC AGUA POTABLE PVC,BRIDA CAMPANA,250 C/ARO DE GOMA,"1241,75",,,"782,30","782,30",,"0,00"
3117,B07 CONDUC AGUA POTABLE PVC,BRIDA PVCR,21/2 TIGRE,"23410,15",,,"14748,39","14.748,39",,"0,00"
3118,B07 CONDUC AGUA POTABLE PVC,BRIDA PVCR,3 TIGRE,"28337,22",,,"17852,45","17.852,45",,"0,00"
3119,B07 CONDUC AGUA POTABLE PVC,BRIDA PVCR,4 TIGRE,"36196,26",,,"22803,64","22.803,64",,"0,00"
3993,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,40.32,"445,35",,,"280,57","280,57",,"0,00"
3994,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,110.63  TIGRE,"16461,57",,,"10370,79","10.370,79",,"0,00"
3995,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,110.75  TIGRE,"17414,67",,,"10971,24","10.971,24",,"0,00"
3996,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,90.75,"10305,83",,,"6492,67","6.492,67",,"0,00"
3997,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,75.63,"2460,37",,,"1550,03","1.550,03",,"0,00"
3998,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,63.50,"1603,3",,,"1010,08","1.010,08",,"0,00"
3999,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,50.40,"741,53",,,"467,16","467,16",,"0,00"
4000,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,32.25,"274,64",,,"173,02","173,02",,"0,00"
4001,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,25.20,"243,82",,,"153,61","153,61",,"0,00"
4002,B07 CONDUC AGUA POTABLE PVC,BUJE HID HH CORTO,110.90,"18264,36",,,"11506,55","11.506,55",,"0,00"
3800,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,63.32 TIGRE,"2090,95",,,"1317,30","1.317,30",,"0,00"
3801,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,32.20 TIGRE,"753,62",,,"474,78","474,78",,"0,00"
3802,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,50.32 TIGRE,"1278,2",,,"805,27","805,27",,"0,00"
3803,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,63.25 TIGRE,"2778,09",,,"1750,20","1.750,20",,"0,00"
3804,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,40.20 TIGRE,"1071,34",,,"674,94","674,94",,"0,00"
3805,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,50.20 TIGRE,"1233,87",,,"777,34","777,34",,"0,00"
3806,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,50.25 TIGRE,"1270,83",,,"800,62","800,62",,"0,00"
3807,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,63.40 TIGRE,"2342,15",,,"1475,55","1.475,55",,"0,00"
3808,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,63.50 TIGRE,"3075,83",,,"1937,77","1.937,77",,"0,00"
3809,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,75.50 TIGRE,"2967,41",,,"1869,47","1.869,47",,"0,00"
3810,B07 CONDUC AGUA POTABLE PVC,BUJE HID MH LARGO,40.25 TIGRE,"1152,63",,,"726,16","726,16",,"0,00"
3167,B07 CONDUC AGUA POTABLE PVC,BUJE PVCR MH,21/2.   2 TIGRE,"5301,15",,,"3339,72","3.339,72",,"0,00"
3168,B07 CONDUC AGUA POTABLE PVC,BUJE PVCR MH,3.   2 TIGRE,"8216,12",,,"5176,16","5.176,16",,"0,00"
3170,B07 CONDUC AGUA POTABLE PVC,BUJE PVCR MH,4.   3 TIGRE,"12840,45",,,"8089,48","8.089,48",,"0,00"
3187,B07 CONDUC AGUA POTABLE PVC,BUJE PVCR MH,3.21/2 TIGRE,"6062,12",,,"3819,14","3.819,14",,"0,00"
3921,B07 CONDUC AGUA POTABLE PVC,CODO HID 45º,HH 20,"738,86",,,"465,48","465,48",,"0,00"
3922,B07 CONDUC AGUA POTABLE PVC,CODO HID 45º,HH  25,"761,02",,,"479,44","479,44",,"0,00"
3923,B07 CONDUC AGUA POTABLE PVC,CODO HID 45º,HH  32,"1059,79",,,"667,67","667,67",,"0,00"
3924,B07 CONDUC AGUA POTABLE PVC,CODO HID 45º,40,"1596,73",,,"1005,94","1.005,94",,"0,00"
3925,B07 CONDUC AGUA POTABLE PVC,CODO HID 45º,50,"2313,46",,,"1457,48","1.457,48",,"0,00"
3926,B07 CONDUC AGUA POTABLE PVC,CODO HID 45º,63,"5548,76",,,"3495,72","3.495,72",,"0,00"
3927,B07 CONDUC AGUA POTABLE PVC,CODO HID 45º,75,"9124,78",,,"5748,61","5.748,61",,"0,00"
3953,B07 CONDUC AGUA POTABLE PVC,CODO HID 45º,HH 110,"16823,6",,,"10598,87","10.598,87",,"0,00"
3954,B07 CONDUC AGUA POTABLE PVC,CODO HID 45º,HH 90,"12640,64",,,"7963,60","7.963,60",,"0,00"
3911,B07 CONDUC AGUA POTABLE PVC,CODO HID 90º,HH  20,"345,26",,,"217,51","217,51",,"0,00"
3912,B07 CONDUC AGUA POTABLE PVC,CODO HID 90º,HH  25,"610,32",,,"384,50","384,50",,"0,00"
3913,B07 CONDUC AGUA POTABLE PVC,CODO HID 90º,HH  32,"870,79",,,"548,60","548,60",,"0,00"
3914,B07 CONDUC AGUA POTABLE PVC,CODO HID 90º,40,"1441,84",,,"908,36","908,36",,"0,00"
3915,B07 CONDUC AGUA POTABLE PVC,CODO HID 90º,50,"2330,27",,,"1468,07","1.468,07",,"0,00"
3916,B07 CONDUC AGUA POTABLE PVC,CODO HID 90º,63,"6184,16",,,"3896,02","3.896,02",,"0,00"
3917,B07 CONDUC AGUA POTABLE PVC,CODO HID 90º,75,"10329,12",,,"6507,35","6.507,35",,"0,00"
3918,B07 CONDUC AGUA POTABLE PVC,CODO HID 90º,90,"14444,52",,,"9100,05","9.100,05",,"0,00"
3919,B07 CONDUC AGUA POTABLE PVC,CODO HID 90º,110,"23153,7",,,"14586,83","14.586,83",,"0,00"
3007,B07 CONDUC AGUA POTABLE PVC,CODO PVCR,90º HH 21/2 TIGRE,"14162,18",,,"8922,17","8.922,17",,"0,00"
3008,B07 CONDUC AGUA POTABLE PVC,CODO PVCR,90º HH    3 TIGRE,"19295,63",,,"12156,25","12.156,25",,"0,00"
3009,B07 CONDUC AGUA POTABLE PVC,CODO PVCR,90º HH    4 TIGRE,"39746,64",,,"25040,38","25.040,38",,"0,00"
3177,B07 CONDUC AGUA POTABLE PVC,CODO PVCR,45º HH 21/2 TIGRE,"11335,36",,,"7141,28","7.141,28",,"0,00"
3178,B07 CONDUC AGUA POTABLE PVC,CODO PVCR,45º HH    3 TIGRE,"13676,21",,,"8616,01","8.616,01",,"0,00"
4055,B07 CONDUC AGUA POTABLE PVC,CONEXION TANQUE HID,SD - CONEXION PARA TANQUE DE 25 MM,"8068,23",,,"5082,98","5.082,98",,"0,00"
4056,B07 CONDUC AGUA POTABLE PVC,CONEXION TANQUE HID,SD - CONEXION PARA TANQUE DE 32 MM,"9146,95",,,"5762,58","5.762,58",,"0,00"
4057,B07 CONDUC AGUA POTABLE PVC,CONEXION TANQUE HID,SD - CONEXION PARA TANQUE DE 40 MM,"13003,74",,,"8192,36","8.192,36",,"0,00"
4058,B07 CONDUC AGUA POTABLE PVC,CONEXION TANQUE HID,SD - CONEXION PARA TANQUE DE 50 MM,"13424,91",,,"8457,69","8.457,69",,"0,00"
3931,B07 CONDUC AGUA POTABLE PVC,CRUZ HIDRAULICA,20 TIGRE,"3221,39",,,"2029,48","2.029,48",,"0,00"
3932,B07 CONDUC AGUA POTABLE PVC,CRUZ HIDRAULICA,25 TIGRE,"3760,75",,,"2369,27","2.369,27",,"0,00"
3933,B07 CONDUC AGUA POTABLE PVC,CRUZ HIDRAULICA,32 TIGRE,"5777,82",,,"3640,03","3.640,03",,"0,00"
3934,B07 CONDUC AGUA POTABLE PVC,CRUZ HIDRAULICA,40 TIGRE,"5168,62",,,"3256,23","3.256,23",,"0,00"
3935,B07 CONDUC AGUA POTABLE PVC,CRUZ HIDRAULICA,50 TIGRE,"5776,99",,,"3639,50","3.639,50",,"0,00"
3936,B07 CONDUC AGUA POTABLE PVC,CRUZ HIDRAULICA,63 TIGRE,"13764,76",,,"8671,80","8.671,80",,"0,00"
3937,B07 CONDUC AGUA POTABLE PVC,CRUZ HIDRAULICA,75 TIGRE,"25985,33",,,"16370,76","16.370,76",,"0,00"
3938,B07 CONDUC AGUA POTABLE PVC,CRUZ HIDRAULICA,90 TIGRE,"32708,85",,,"20606,58","20.606,58",,"0,00"
3831,B07 CONDUC AGUA POTABLE PVC,CUPLA HID HH,20,"421,14",,,"265,32","265,32",,"0,00"
3832,B07 CONDUC AGUA POTABLE PVC,CUPLA HID HH,25,"539,36",,,"339,80","339,80",,"0,00"
3833,B07 CONDUC AGUA POTABLE PVC,CUPLA HID HH,32,"738,86",,,"465,48","465,48",,"0,00"
3834,B07 CONDUC AGUA POTABLE PVC,CUPLA HID HH,40,"892,56",,,"562,31","562,31",,"0,00"
3835,B07 CONDUC AGUA POTABLE PVC,CUPLA HID HH,50,"1456,34",,,"917,49","917,49",,"0,00"
3836,B07 CONDUC AGUA POTABLE PVC,CUPLA HID HH,63,"3738,59",,,"2355,31","2.355,31",,"0,00"
3837,B07 CONDUC AGUA POTABLE PVC,CUPLA HID HH,75,"5489,65",,,"3458,48","3.458,48",,"0,00"
3838,B07 CONDUC AGUA POTABLE PVC,CUPLA HID HH,90,"10023,23",,,"6314,63","6.314,63",,"0,00"
3839,B07 CONDUC AGUA POTABLE PVC,CUPLA HID HH,110,"13523,89",,,"8520,05","8.520,05",,"0,00"
3037,B07 CONDUC AGUA POTABLE PVC,CUPLA PVCR HH,21/2 TIGRE,"6874,71",,,"4331,07","4.331,07",,"0,00"
3038,B07 CONDUC AGUA POTABLE PVC,CUPLA PVCR HH,3 TIGRE,9751,,,"6143,13","6.143,13",,"0,00"
3039,B07 CONDUC AGUA POTABLE PVC,CUPLA PVCR HH,4 TIGRE,"13543,04",,,"8532,12","8.532,12",,"0,00"
4004,B07 CONDUC AGUA POTABLE PVC,CURVA HID 45º,HH 50 TIGRE REF,"4573,84",,,"2881,52","2.881,52",,"0,00"
4005,B07 CONDUC AGUA POTABLE PVC,CURVA HID 45º,HH 63 TIGRE REF.,"42084,85",,,"26513,46","26.513,46",,"0,00"
4006,B07 CONDUC AGUA POTABLE PVC,CURVA HID 45º,HH 75 TIGRE REF.,"54977,77",,,"34636,00","34.636,00",,"0,00"
4007,B07 CONDUC AGUA POTABLE PVC,CURVA HID 45º,HH 90 TIGRE REF.,"67885,47",,,"42767,85","42.767,85",,"0,00"
4008,B07 CONDUC AGUA POTABLE PVC,CURVA HID 45º,HH 110 TIGRE REF.,"100380,07",,,"63239,44","63.239,44",,"0,00"
3820,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,MH 125 REFORZADA,"556,15",,,"350,37","350,37",,"0,00"
3821,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,MH 140 REFORZADA,"556,15",,,"350,37","350,37",,"0,00"
4011,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,HH 20 TIGRE,"834,91",,,"525,99","525,99",,"0,00"
4012,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,HH 25 TIGRE,"1159,99",,,"730,79","730,79",,"0,00"
4013,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,HH 32 TIGRE,"1987,49",,,"1252,12","1.252,12",,"0,00"
4014,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,HH 40 TIGRE,"2497,84",,,"1573,64","1.573,64",,"0,00"
4015,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,HH 50 TIGRE,"4967,91",,,"3129,78","3.129,78",,"0,00"
4016,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,HH 63 TIGRE,"14130,51",,,"8902,22","8.902,22",,"0,00"
4017,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,HH 75 TIGRE,"16522,89",,,"10409,42","10.409,42",,"0,00"
4018,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,HH 90 TIGRE,"85167,15",,,"53655,30","53.655,30",,"0,00"
4019,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,HH 110 TIGRE,"99894,72",,,"62933,67","62.933,67",,"0,00"
4061,B07 CONDUC AGUA POTABLE PVC,CURVA HID 90º,160 C/ARO DE GOMA,"556,15",,,"350,37","350,37",,"0,00"
4331,B07 CONDUC AGUA POTABLE PVC,MANGUITO HEMBRA,SD/BR 20.1/2,"421,14",,,"265,32","265,32",,"0,00"
4332,B07 CONDUC AGUA POTABLE PVC,MANGUITO HEMBRA,SD/BR  25.3/4,"635,4",,,"400,30","400,30",,"0,00"
4333,B07 CONDUC AGUA POTABLE PVC,MANGUITO HEMBRA,SD/BR 32.  1,"1270,83",,,"800,62","800,62",,"0,00"
4334,B07 CONDUC AGUA POTABLE PVC,MANGUITO HEMBRA,SD/BR 40.11/4,"1678,36",,,"1057,37","1.057,37",,"0,00"
4335,B07 CONDUC AGUA POTABLE PVC,MANGUITO HEMBRA,SD/BR 50x11/2,"2100,17",,,"1323,11","1.323,11",,"0,00"
3965,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,BR/SD 50.11/4 TIGRE,"1645,88",,,"1036,90","1.036,90",,"0,00"
3979,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 40. 1 TIGRE,"1574,03",,,"991,64","991,64",,"0,00"
3980,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 63. 2,"2955,42",,,"1861,91","1.861,91",,"0,00"
3981,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 20. 1/2,"421,14",,,"265,32","265,32",,"0,00"
3982,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 25. 3/4,"502,43",,,"316,53","316,53",,"0,00"
3983,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 32.  1,"679,75",,,"428,24","428,24",,"0,00"
3984,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 40.11/4,"1153,49",,,"726,70","726,70",,"0,00"
3985,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 40.11/2 TIGRE,"1647,84",,,"1038,14","1.038,14",,"0,00"
3986,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 50.11/2 TIGRE,"1623,97",,,"1023,10","1.023,10",,"0,00"
3987,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 50.   2 TIGRE,"2581,33",,,"1626,24","1.626,24",,"0,00"
3988,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 63.21/2 TIGRE,"5569,08",,,"3508,52","3.508,52",,"0,00"
3989,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 75.   3 TIGRE,"7074,49",,,"4456,93","4.456,93",,"0,00"
3990,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 90.  3,"11370,91",,,"7163,67","7.163,67",,"0,00"
3991,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 110.   4,"13905,14",,,"8760,24","8.760,24",,"0,00"
3992,B07 CONDUC AGUA POTABLE PVC,MANGUITO MACHO,SD/BR 75 X 21/2,"4883,78",,,"3076,78","3.076,78",,"0,00"
98185,B07 CONDUC AGUA POTABLE PVC,PINTATUBO,P. BLANCO 1L,"49934,68",,,"31458,85","31.458,85",,"0,00"
98186,B07 CONDUC AGUA POTABLE PVC,PINTATUBO,P. GRIS 1L,"49934,68",,,"31458,85","31.458,85",,"0,00"
